video_t,wall_time,author,chat_name,text,sentiment,source_layer,current_performer,caption_window,audience
-702.0,2026-09-07 19:04:49,@z28diablo,,Duets....like battle rap without the battle or the rap,negative,vader,,,true
-682.0,2026-09-07 19:05:09,@z28diablo,,Hope we see Uncle Waikiki and Dumpster Dan,positive,vader,,,true
15.0,2026-09-07 19:16:46,@JimboTheComic,,Let’s goooooo,neutral,vader,,"Chino is going to tell you all about that. So, please give a big round of applause for our host, our MC.",true
25.0,2026-09-07 19:16:56,@JimboTheComic,,ITS MONDAY,neutral,vader,,"that. So, please give a big round of applause for our host, our MC. >> He's coming up slowly. >> One step at a time for his own sunglasses. >> Right. >> Here he comes. >> Well, I got to set it up, too. So, >> you got to set it up. Oh,",true
29.0,2026-09-07 19:17:00,@JimboTheComic,,Let’s goooooo,neutral,vader,,"applause for our host, our MC. >> He's coming up slowly. >> One step at a time for his own sunglasses. >> Right. >> Here he comes. >> Well, I got to set it up, too. So, >> you got to set it up. Oh, >> yeah. You were doing your thing before I showed up. >> Oh, okay.",true
41.0,2026-09-07 19:17:12,@JimboTheComic,,We in this mf ,neutral,vader,,">> Right. >> Here he comes. >> Well, I got to set it up, too. So, >> you got to set it up. Oh, >> yeah. You were doing your thing before I showed up. >> Oh, okay. He'll be here. He's here, but he'll be check. >> There he is. >> He's checking.",true
76.0,2026-09-07 19:17:47,@joshuabutterwick3156,,Tommy Chong wanna be,neutral,vader,,"All right, ladies and gentlemen, warm welcome for Gino Laforge, please. Thank you. >> Give it up for Dub, ladies and gentlemen. >> Thank you very much. By the way, one of Contributions, there's a QR code to be right here on his side. >> Yes. Check out his QR code. What is your uh Venmo again? Dove, if you want, Venmo",true
90.0,2026-09-07 19:18:01,@JimboTheComic,,Joshua welcome in pimp,positive,vader,,"right here on his side. >> Yes. Check out his QR code. What is your uh Venmo again? Dove, if you want, Venmo is at Evan Dove. Evan N o and the number three. That's Evan Dove three because Evan Dove one and two are taken. Who are these first two people? Double gangers.",true
109.0,2026-09-07 19:18:20,@Conrad2311,,Yay ,positive,vader,,"these first two people? Double gangers. One more time for Dub, ladies and gentlemen. Keep it going, bro. Thank you. We're going to let him break down. We're going to get this mic set up. We're going to get this show started in no time. Uh, welcome to Bay Coffee and Bar on a Monday night. It's time for comedy. Who came here for comedy tonight?",true
112.0,2026-09-07 19:18:23,@JimboTheComic,,Monday funday baby ,neutral,vader,,"gentlemen. Keep it going, bro. Thank you. We're going to let him break down. We're going to get this mic set up. We're going to get this show started in no time. Uh, welcome to Bay Coffee and Bar on a Monday night. It's time for comedy. Who came here for comedy tonight? >> Who did not come here for comedy? and",true
116.0,2026-09-07 19:18:27,@joshuabutterwick3156,,hey jimbo thank-you,neutral,vader,,"We're going to get this show started in no time. Uh, welcome to Bay Coffee and Bar on a Monday night. It's time for comedy. Who came here for comedy tonight? >> Who did not come here for comedy? and comedy is just kind of happening to them. >> All right, good. That's a good ratio.",true
117.0,2026-09-07 19:18:28,@Conrad2311,,:clapping_hands:,neutral,vader,,"We're going to get this show started in no time. Uh, welcome to Bay Coffee and Bar on a Monday night. It's time for comedy. Who came here for comedy tonight? >> Who did not come here for comedy? and comedy is just kind of happening to them. >> All right, good. That's a good ratio. That means word's getting out. This is",true
122.0,2026-09-07 19:18:33,@z28diablo,,What's good Jimbo?,positive,vader,,"no time. Uh, welcome to Bay Coffee and Bar on a Monday night. It's time for comedy. Who came here for comedy tonight? >> Who did not come here for comedy? and comedy is just kind of happening to them. >> All right, good. That's a good ratio. That means word's getting out. This is Monday night comedy night. The comedy simulator is called that because this is",true
135.0,2026-09-07 19:18:46,@joshuabutterwick3156,,what plugs do we have tonight?,neutral,vader,,">> All right, good. That's a good ratio. That means word's getting out. This is Monday night comedy night. The comedy simulator is called that because this is not a real comedy show. This is a simulated comedy experience. What does that mean? You are not a real audience. We are not real comedians. What does that mean? Nobody's asking for your",true
151.0,2026-09-07 19:19:02,@Conrad2311,,Hair ,neutral,vader,,"that mean? You are not a real audience. We are not real comedians. What does that mean? Nobody's asking for your money, so lower your expectations. That's what this all means. This is all us dressing up an open mic to look better than it is. You're going to see a lot of new comedy tonight, friends. Cutting edge comedy, as I like to say. And the thing about the cutting edge is that sometimes it looks like bad comedy. That's kind of a part of being on the",true
152.0,2026-09-07 19:19:03,@JimboTheComic,,Who in here :eyes::eyes:,neutral,vader,,"We are not real comedians. What does that mean? Nobody's asking for your money, so lower your expectations. That's what this all means. This is all us dressing up an open mic to look better than it is. You're going to see a lot of new comedy tonight, friends. Cutting edge comedy, as I like to say. And the thing about the cutting edge is that sometimes it looks like bad comedy. That's kind of a part of being on the",true
168.0,2026-09-07 19:19:19,@leedlelee-l2d,,Hopefully someone will actually be funny tn,positive,vader,,"And the thing about the cutting edge is that sometimes it looks like bad comedy. That's kind of a part of being on the cutting edge. Uh, you're going to see some moments of brilliance. You're going to see some moments that aren't so great. It's all a part of the show. We're going to pretend like we're the best comedians you've ever heard. You're going to pretend like you're the best audience we've ever had, and we're going to fake it till we make it. That's how this show works. Uh, thank you. Sillow",true
174.0,2026-09-07 19:19:25,@BrianKirk-wi6kd,,Jimbo :victory_hand::victory_hand::victory_hand::victory_hand::victory_hand:,neutral,vader,,"some moments of brilliance. You're going to see some moments that aren't so great. It's all a part of the show. We're going to pretend like we're the best comedians you've ever heard. You're going to pretend like you're the best audience we've ever had, and we're going to fake it till we make it. That's how this show works. Uh, thank you. Sillow clap. Awkward in the back. That's the type of clap that gets you",true
183.0,2026-09-07 19:19:34,@JimboTheComic,,Doubt it leedlelee ,negative,vader,,"audience we've ever had, and we're going to fake it till we make it. That's how this show works. Uh, thank you. Sillow clap. Awkward in the back. That's the type of clap that gets you kicked off of jury duty, isn't it? Right. You're not supposed to clap in that situation. They don't want that. Get out of here, buddy. Uh, so we have themes every week. Last week was heckle",true
189.0,2026-09-07 19:19:40,@JimboTheComic,,What’s good Brian!!,positive,vader,,"this show works. Uh, thank you. Sillow clap. Awkward in the back. That's the type of clap that gets you kicked off of jury duty, isn't it? Right. You're not supposed to clap in that situation. They don't want that. Get out of here, buddy. Uh, so we have themes every week. Last week was heckle night. If some of you were here, you saw how intense the show could be. Tonight's a lot more laidback, friends. We're",true
225.0,2026-09-07 19:20:16,@joshuabutterwick3156,,"oh great 2 plugs 1, bathtub",positive,vader,,"going on here? What are they saying? Why are they still talking?"" We're going to get through it together. This is also being live streamed. Give it up for Skyler from Shroom Studios over here. >> The gentleman in the hat that would have given you newspaper in the 1930s. Uh he is our video producer from Shroomcat and my my buddy. Uh he is the one that makes us look so incredible. The live stream",true
