video_t,wall_time,author,chat_name,text,sentiment,source_layer,current_performer,caption_window,audience
-1025.0,2026-08-31 19:03:21,@JFK-2027,,Yurrr,neutral,vader,,,true
-965.0,2026-08-31 19:04:21,@JFK-2027,,"Everyone is a good person, it takes a lot to get out there :saluting_face:",positive,vader,,,true
-445.0,2026-08-31 19:13:01,@pijinFPS,,WHATS GOOD CHAT,positive,vader,,,true
-365.0,2026-08-31 19:14:21,@CarlCramer88,,And we are back ,neutral,vader,,,true
-356.0,2026-08-31 19:14:30,@CarlCramer88,,What pathetic line up do we have tonight ,negative,vader,,,true
-310.0,2026-08-31 19:15:16,@abbyrose7533,,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,neutral,vader,,,true
-292.0,2026-08-31 19:15:34,@CarlCramer88,,:man_shrugging::beaming_face_with_smiling_eyes:,neutral,vader,,,true
-248.0,2026-08-31 19:16:18,@pijinFPS,,Welcome to another episode of Keep Tony Alive,positive,vader,,,true
-246.0,2026-08-31 19:16:20,@z28diablo,,Rumor has it the chair is getting a mic tonight too,neutral,vader,,,true
-239.0,2026-08-31 19:16:27,@HollywoodStar2026,,It's gonna be a crapshoot,neutral,vader,,,true
-178.0,2026-08-31 19:17:28,@CaptainDookiepost,,LETS GET THIS SHIT SHOW ON THE ROAD,negative,vader,,,true
-171.0,2026-08-31 19:17:35,@HollywoodStar2026,,I'd watch the chair do an hour,neutral,vader,,,true
-133.0,2026-08-31 19:18:13,@CaptainDookiepost,,I'm not early. they're late!,neutral,vader,,,true
-120.0,2026-08-31 19:18:26,@z28diablo,,Would be funny to vocalize the chat but all the streams I've heard sound like a 1980's robot.,positive,vader,,,true
-98.0,2026-08-31 19:18:48,@CaptainDookiepost,,they should hire someone to read them out loud,neutral,vader,,,true
-84.0,2026-08-31 19:19:02,@HollywoodStar2026,,Robot voices better than a comic doing The Robot on stage,positive,vader,,,true
-76.0,2026-08-31 19:19:10,@CaptainDookiepost,,I'M STILL 30 MINUTES FROM HOME. haven't even got my beer yet,neutral,vader,,,true
-65.0,2026-08-31 19:19:21,@JimboTheComic,,:eyes::eyes::eyes:,neutral,vader,,,true
-59.0,2026-08-31 19:19:27,@CaptainDookiepost,,"might have to just drink, drive, and watch this at the same time.....",neutral,vader,,,true
-54.0,2026-08-31 19:19:32,@CaptainDookiepost,,kidding!,positive,vader,,,true
-47.0,2026-08-31 19:19:39,@born2bewild156,,Here again at last :victory_hand::victory_hand:,neutral,vader,,,true
-46.0,2026-08-31 19:19:40,@JimboTheComic,,Weeee back ,neutral,vader,,,true
-42.0,2026-08-31 19:19:44,@CaptainDookiepost,,Jimbo!,neutral,vader,,,true
-32.0,2026-08-31 19:19:54,@z28diablo,,Jimbo needs an assistant to stand at a mic and read them. :rolling_on_the_floor_laughing:,neutral,vader,,,true
-31.0,2026-08-31 19:19:55,@CarlCramer88,,Another Monday on 2nd hand embarrassment ,positive,vader,,,true
-29.0,2026-08-31 19:19:57,@JimboTheComic,,Sky master is fixing the stream ,neutral,vader,,,true
-29.0,2026-08-31 19:19:57,@CaptainDookiepost,,you in the house?! they slacking off?!,neutral,vader,,,true
-27.0,2026-08-31 19:19:59,@pijinFPS,,Yo Jimbo ,neutral,vader,,,true
-25.0,2026-08-31 19:20:01,@CarlCramer88,,Of*,neutral,vader,,,true
-19.0,2026-08-31 19:20:07,@JimboTheComic,,I’m in this mf!! Sup yall!! ,neutral,vader,,,true
-10.0,2026-08-31 19:20:16,@CarlCramer88,,When we going live,neutral,vader,,,true
-6.0,2026-08-31 19:20:20,@JimboTheComic,,Skyler is fixing the stream now. Chino just got up ,neutral,vader,,,true
-3.0,2026-08-31 19:20:23,@HollywoodStar2026,,We should all sing ISLANDS IN THE STREAM for Dolly,neutral,vader,,,true
-1.0,2026-08-31 19:20:25,@CarlCramer88,,Not all of us are in Hawaii. ,neutral,vader,,,true
6.0,2026-08-31 19:20:32,@CaptainDookiepost,,you gonna bomb tonight?! :rolling_on_the_floor_laughing:,negative,vader,,"get it. >> I will work on that intro. Uh,",true
26.0,2026-08-31 19:20:52,@JimboTheComic,,“Jimbo is the best”,positive,vader,,">> I will work on that intro. Uh, uh, comedian of the night. Now, I know that I've forgotten it for the past couple weeks, but we have a special situation. We have a special guest in the house, Jose Raymond from doing his Watts to Hawaii tour. [cheering] He'll be at uh, the Playground September 4th, I believe. That's a Friday night. Uh, comedian of the night tonight. You're earning yourself a five minute spot on that show. So, dress up, look nice, and try hard tonight. Okay, work",true
35.0,2026-08-31 19:21:01,@CarlCramer88,,How was your vacation jimbon,neutral,vader,,"Watts to Hawaii tour. [cheering] He'll be at uh, the Playground September 4th, I believe. That's a Friday night. Uh, comedian of the night tonight. You're earning yourself a five minute spot on that show. So, dress up, look nice, and try hard tonight. Okay, work it. Work it. Try to get that spot. I'm gonna put the sauce back here for incentive. Um, oh, tonight's theme, the best part. Okay, so every week we do a",true
39.0,2026-08-31 19:21:05,@CarlCramer88,,Jimbo,neutral,vader,,"4th, I believe. That's a Friday night. Uh, comedian of the night tonight. You're earning yourself a five minute spot on that show. So, dress up, look nice, and try hard tonight. Okay, work it. Work it. Try to get that spot. I'm gonna put the sauce back here for incentive. Um, oh, tonight's theme, the best part. Okay, so every week we do a theme. Sometimes it's like jokes out of a hat where you pull a topic and you",true
43.0,2026-08-31 19:21:09,@z28diablo,,"Jimbo, did you survive the J Cole mosh pit?",neutral,vader,,"You're earning yourself a five minute spot on that show. So, dress up, look nice, and try hard tonight. Okay, work it. Work it. Try to get that spot. I'm gonna put the sauce back here for incentive. Um, oh, tonight's theme, the best part. Okay, so every week we do a theme. Sometimes it's like jokes out of a hat where you pull a topic and you figure it out. Sometimes it's crowd work where we interact with each other.",true
50.0,2026-08-31 19:21:16,@JimboTheComic,,Yall he just said winner of comic of the night gets to open for Jose Ramirez. Fuck I gotta bring it ,positive,vader,,"gonna put the sauce back here for incentive. Um, oh, tonight's theme, the best part. Okay, so every week we do a theme. Sometimes it's like jokes out of a hat where you pull a topic and you figure it out. Sometimes it's crowd work where we interact with each other. Tonight is a type of crowd work. It's the most dangerous type of crowd crowd work. It's actually the most dangerous type of comedy. Ladies and gentlemen,",true
60.0,2026-08-31 19:21:26,@JimboTheComic,,Idk who Jose is ,negative,vader,,"a hat where you pull a topic and you figure it out. Sometimes it's crowd work where we interact with each other. Tonight is a type of crowd work. It's the most dangerous type of crowd crowd work. It's actually the most dangerous type of comedy. Ladies and gentlemen, tonight is heckle night. >> Ooh, I felt the the the air leave and come back to the room. So, those of you that do not know what Heckle Knight is,",true
65.0,2026-08-31 19:21:31,@xankomaa,,Aw shit,negative,vader,,"Tonight is a type of crowd work. It's the most dangerous type of crowd crowd work. It's actually the most dangerous type of comedy. Ladies and gentlemen, tonight is heckle night. >> Ooh, I felt the the the air leave and come back to the room. So, those of you that do not know what Heckle Knight is, normally it is frowned upon when an audience member interacts negatively with a comedian. However, the Comedy",true
66.0,2026-08-31 19:21:32,@my_son_fgc,,ooooof,neutral,vader,,"the most dangerous type of crowd crowd work. It's actually the most dangerous type of comedy. Ladies and gentlemen, tonight is heckle night. >> Ooh, I felt the the the air leave and come back to the room. So, those of you that do not know what Heckle Knight is, normally it is frowned upon when an audience member interacts negatively with a comedian. However, the Comedy",true
68.0,2026-08-31 19:21:34,@JimboTheComic,,I survived the let our diablo,positive,vader,,"work. It's actually the most dangerous type of comedy. Ladies and gentlemen, tonight is heckle night. >> Ooh, I felt the the the air leave and come back to the room. So, those of you that do not know what Heckle Knight is, normally it is frowned upon when an audience member interacts negatively with a comedian. However, the Comedy Simulator is all about our comedians",true
73.0,2026-08-31 19:21:39,@JimboTheComic,,Out*,neutral,vader,,"tonight is heckle night. >> Ooh, I felt the the the air leave and come back to the room. So, those of you that do not know what Heckle Knight is, normally it is frowned upon when an audience member interacts negatively with a comedian. However, the Comedy Simulator is all about our comedians getting training. So, sometimes we pull out this cartridge of the simulator and",true
92.0,2026-08-31 19:21:58,@CarlCramer88,,Aw shit. I bet the hecklers suck too. ,negative,vader,,"out this cartridge of the simulator and we plug it in. Now, this comes with a disclaimer. This will raise your blood pressure if you interact it. You won't be able to help but feel like the simulator feels real. And the same goes for our comics, too. So this is two-part audience for audience or two-part uh advice from audience and comedians. This is a",true
101.0,2026-08-31 19:22:07,@z28diablo,,Jose Ramirez runs the food truck in the parking lot. Not sure I'd open his truck though.,negative,vader,,"you interact it. You won't be able to help but feel like the simulator feels real. And the same goes for our comics, too. So this is two-part audience for audience or two-part uh advice from audience and comedians. This is a simulation. We are using this for training purposes. If you interact with a comedian, they will interact with you and that's how it",true
101.0,2026-08-31 19:22:07,@JimboTheComic,,Carl it was lit. Time to bomb on stage hahahah I did 2 open mics there though. I’m warm ,negative,vader,,"you interact it. You won't be able to help but feel like the simulator feels real. And the same goes for our comics, too. So this is two-part audience for audience or two-part uh advice from audience and comedians. This is a simulation. We are using this for training purposes. If you interact with a comedian, they will interact with you and that's how it",true
102.0,2026-08-31 19:22:08,@xankomaa,,Ultimate ragebait,neutral,vader,,"help but feel like the simulator feels real. And the same goes for our comics, too. So this is two-part audience for audience or two-part uh advice from audience and comedians. This is a simulation. We are using this for training purposes. If you interact with a comedian, they will interact with you and that's how it happens. Don't take it personally. Just",true
109.0,2026-08-31 19:22:15,@JimboTheComic,,HECKLE NIGHT BABY ,neutral,vader,,"audience or two-part uh advice from audience and comedians. This is a simulation. We are using this for training purposes. If you interact with a comedian, they will interact with you and that's how it happens. Don't take it personally. Just know that everything is said in the intent of humor. That is the point. If you are brought into an interaction that",true
116.0,2026-08-31 19:22:22,@CarlCramer88,,How did you do on open mic?,neutral,vader,,"We are using this for training purposes. If you interact with a comedian, they will interact with you and that's how it happens. Don't take it personally. Just know that everything is said in the intent of humor. That is the point. If you are brought into an interaction that you do not want to be a part of, simply put an X with your arms in front of your chest and the comedian will know that",true
118.0,2026-08-31 19:22:24,@JimboTheComic,,Time to rage at these mfs ,negative,vader,,"If you interact with a comedian, they will interact with you and that's how it happens. Don't take it personally. Just know that everything is said in the intent of humor. That is the point. If you are brought into an interaction that you do not want to be a part of, simply put an X with your arms in front of your chest and the comedian will know that you are not to be interacted with. However, if you were the heckler,",true
119.0,2026-08-31 19:22:25,@Alkemystikal-c7r,,Hello Chat this is your night how excited are you,positive,vader,,"If you interact with a comedian, they will interact with you and that's how it happens. Don't take it personally. Just know that everything is said in the intent of humor. That is the point. If you are brought into an interaction that you do not want to be a part of, simply put an X with your arms in front of your chest and the comedian will know that you are not to be interacted with. However, if you were the heckler,",true
123.0,2026-08-31 19:22:29,@my_son_fgc,,bad idea :skull:,negative,vader,,"happens. Don't take it personally. Just know that everything is said in the intent of humor. That is the point. If you are brought into an interaction that you do not want to be a part of, simply put an X with your arms in front of your chest and the comedian will know that you are not to be interacted with. However, if you were the heckler, you no longer have that right and the comedian will continue to heckle and go",true
125.0,2026-08-31 19:22:31,@CarlCramer88,,Glad your vacation was good ,positive,vader,,"know that everything is said in the intent of humor. That is the point. If you are brought into an interaction that you do not want to be a part of, simply put an X with your arms in front of your chest and the comedian will know that you are not to be interacted with. However, if you were the heckler, you no longer have that right and the comedian will continue to heckle and go back and forth, right? Because if you if",true
133.0,2026-08-31 19:22:39,@abbyrose7533,,Chats bout to go hard ,negative,vader,,"put an X with your arms in front of your chest and the comedian will know that you are not to be interacted with. However, if you were the heckler, you no longer have that right and the comedian will continue to heckle and go back and forth, right? Because if you if you throw a shot and then run away, you're an [ __ ] and we will make sure that doesn't happen. So, just so you know, if you do interact, the interact",true
135.0,2026-08-31 19:22:41,@alisonwayland6057,,hello :waving_hand::grinning_face:,neutral,vader,,"chest and the comedian will know that you are not to be interacted with. However, if you were the heckler, you no longer have that right and the comedian will continue to heckle and go back and forth, right? Because if you if you throw a shot and then run away, you're an [ __ ] and we will make sure that doesn't happen. So, just so you know, if you do interact, the interact will be back and forth. Nobody gets to",true
144.0,2026-08-31 19:22:50,@JimboTheComic,,CHAT HECKLES WILL BE READ hahah by me “heckling”,neutral,vader,,"comedian will continue to heckle and go back and forth, right? Because if you if you throw a shot and then run away, you're an [ __ ] and we will make sure that doesn't happen. So, just so you know, if you do interact, the interact will be back and forth. Nobody gets to say when that stops, but remember it's a simulation. If at any point you you feel uncomfortable, let me know. Or feel free to go off for air for a second, too. Separate yourself from the room. That's",true
148.0,2026-08-31 19:22:54,@Alkemystikal-c7r,,Chino loves you all so much he did this for you,positive,vader,,"you throw a shot and then run away, you're an [ __ ] and we will make sure that doesn't happen. So, just so you know, if you do interact, the interact will be back and forth. Nobody gets to say when that stops, but remember it's a simulation. If at any point you you feel uncomfortable, let me know. Or feel free to go off for air for a second, too. Separate yourself from the room. That's okay. Remember, it is a simulation.",true
152.0,2026-08-31 19:22:58,@CaptainDookiepost,,HAHA,positive,vader,,"that doesn't happen. So, just so you know, if you do interact, the interact will be back and forth. Nobody gets to say when that stops, but remember it's a simulation. If at any point you you feel uncomfortable, let me know. Or feel free to go off for air for a second, too. Separate yourself from the room. That's okay. Remember, it is a simulation. Also, one rule, one heckler at a time. When the whole room dog piles, it",true
155.0,2026-08-31 19:23:01,@HollywoodStar2026,,"Heckle Skylar... WTFFF man, y ou do this every week. He sure aint no David Sarnoff",positive,vader,Chino LaForge,"will be back and forth. Nobody gets to say when that stops, but remember it's a simulation. If at any point you you feel uncomfortable, let me know. Or feel free to go off for air for a second, too. Separate yourself from the room. That's okay. Remember, it is a simulation. Also, one rule, one heckler at a time. When the whole room dog piles, it becomes impossible. So, one person at a time, unless you got the Holy Ghost in",true
166.0,2026-08-31 19:23:12,@xankomaa,,Chino is the trusted adult,positive,vader,Chino LaForge,"Separate yourself from the room. That's okay. Remember, it is a simulation. Also, one rule, one heckler at a time. When the whole room dog piles, it becomes impossible. So, one person at a time, unless you got the Holy Ghost in you and it just says the right thing in the right moment, then amen. Let it out. Exercise that. I I'm cool with that. But we try to do one at a time. and keep it fair. Sound good, everybody?",true
169.0,2026-08-31 19:23:15,@alisonwayland6057,,lol,positive,vader,Chino LaForge,"Also, one rule, one heckler at a time. When the whole room dog piles, it becomes impossible. So, one person at a time, unless you got the Holy Ghost in you and it just says the right thing in the right moment, then amen. Let it out. Exercise that. I I'm cool with that. But we try to do one at a time. and keep it fair. Sound good, everybody? >> Awesome. I like to hear that. So, don't",true
172.0,2026-08-31 19:23:18,@z28diablo,,Are they controlling the mic or will it be constantly open? Repeat of the end of last week would suck.,negative,vader,Chino LaForge,"When the whole room dog piles, it becomes impossible. So, one person at a time, unless you got the Holy Ghost in you and it just says the right thing in the right moment, then amen. Let it out. Exercise that. I I'm cool with that. But we try to do one at a time. and keep it fair. Sound good, everybody? >> Awesome. I like to hear that. So, don't be afraid to heckle our comics tonight. Uh, comedians, remember once again, this",true
183.0,2026-08-31 19:23:29,@JimboTheComic,,Thanks Carl!!,positive,vader,Chino LaForge,"Exercise that. I I'm cool with that. But we try to do one at a time. and keep it fair. Sound good, everybody? >> Awesome. I like to hear that. So, don't be afraid to heckle our comics tonight. Uh, comedians, remember once again, this is a simulation. Don't take this personally. Nobody hates your art. They just found something about you to make fun of. All right, that's all that means. Maybe be less make fun of. All",true
190.0,2026-08-31 19:23:36,@JimboTheComic,,GAME TIMEEEEE,neutral,vader,Chino LaForge,"be afraid to heckle our comics tonight. Uh, comedians, remember once again, this is a simulation. Don't take this personally. Nobody hates your art. They just found something about you to make fun of. All right, that's all that means. Maybe be less make fun of. All right, that begin that that concludes the entry speech. Are we ready to begin the comedy simulator? [applause]",true
191.0,2026-08-31 19:23:37,@my_son_fgc,,all 15 of them sound excited,positive,vader,Chino LaForge,"be afraid to heckle our comics tonight. Uh, comedians, remember once again, this is a simulation. Don't take this personally. Nobody hates your art. They just found something about you to make fun of. All right, that's all that means. Maybe be less make fun of. All right, that begin that that concludes the entry speech. Are we ready to begin the comedy simulator? [applause] Cuz once we begin the simulation, it",true
200.0,2026-08-31 19:23:46,@alisonwayland6057,,yes,positive,vader,Chino LaForge,"fun of. All right, that's all that means. Maybe be less make fun of. All right, that begin that that concludes the entry speech. Are we ready to begin the comedy simulator? [applause] Cuz once we begin the simulation, it goes until it's over. Are we ready to begin simulation? Let's do it. The heck is heckle simulation begins? Begin simulator. So,",true
202.0,2026-08-31 19:23:48,@CarlCramer88,,:index_pointing_up::call_me_hand::thumbs_up:,neutral,vader,Chino LaForge,"fun of. All right, that's all that means. Maybe be less make fun of. All right, that begin that that concludes the entry speech. Are we ready to begin the comedy simulator? [applause] Cuz once we begin the simulation, it goes until it's over. Are we ready to begin simulation? Let's do it. The heck is heckle simulation begins? Begin simulator. So, I'm just going to start [music] doing",true
207.0,2026-08-31 19:23:53,@pijinFPS,,SMASH LIKE CHAT,positive,vader,Chino LaForge,"the entry speech. Are we ready to begin the comedy simulator? [applause] Cuz once we begin the simulation, it goes until it's over. Are we ready to begin simulation? Let's do it. The heck is heckle simulation begins? Begin simulator. So, I'm just going to start [music] doing um so I recently got a air purifier in my house because my air is dirty, or so",true
213.0,2026-08-31 19:23:59,@HollywoodStar2026,,"100 bucks that audience mic gets ""lost""",negative,vader,Chino LaForge,"Cuz once we begin the simulation, it goes until it's over. Are we ready to begin simulation? Let's do it. The heck is heckle simulation begins? Begin simulator. So, I'm just going to start [music] doing um so I recently got a air purifier in my house because my air is dirty, or so I've been told. Uh and I found out that it has a color coding system. It's blue",true
256.0,2026-08-31 19:24:42,@z28diablo,,I bet Jimbo takes it to the bathroom and starts farting into it,neutral,vader,Chino LaForge,"this air purifier detect my fart? So, I let one loose across the room and 7 seconds later, it went from blue to orange, and I start dying laughing. The child in me starts letting loose the laughter and then it turns red and now I have a consideration. Did I really just mess up my air that much to red? Like California wildfires,",true
260.0,2026-08-31 19:24:46,@HollywoodStar2026,,Maybe the audience mic is shaped like a giant bong?,positive,vader,Chino LaForge,"seconds later, it went from blue to orange, and I start dying laughing. The child in me starts letting loose the laughter and then it turns red and now I have a consideration. Did I really just mess up my air that much to red? Like California wildfires, do they get orange? Like how bad is red? Like give me a scale here. Like what did",true
281.0,2026-08-31 19:25:07,@xankomaa,,Now hes worried that might mean something serious ,negative,vader,Chino LaForge,"I just do to my purifier? Did I unpurify? >> Yeah, right. It's a carbon filter. Hopefully it caught all that. Um, >> what's in that hot sauce? [laughter] >> What's in the hot sauce? It's uh fart ammunition. Apparently, that's what it is. It is prefarts. It's bottles of prefarts. Once once just add person",true
293.0,2026-08-31 19:25:19,@alisonwayland6057,,atheist it didn't go black,neutral,vader,Chino LaForge,">> what's in that hot sauce? [laughter] >> What's in the hot sauce? It's uh fart ammunition. Apparently, that's what it is. It is prefarts. It's bottles of prefarts. Once once just add person enzymes and it's got everything you need. >> Just add stomach probiotic and you got everything you need. Yes, Dove. >> I'm wondering if the purifier all that.",true
298.0,2026-08-31 19:25:24,@CarlCramer88,,Next!,neutral,vader,Chino LaForge,"ammunition. Apparently, that's what it is. It is prefarts. It's bottles of prefarts. Once once just add person enzymes and it's got everything you need. >> Just add stomach probiotic and you got everything you need. Yes, Dove. >> I'm wondering if the purifier all that. >> Yeah. Okay. I just want to heckle you for heckling by raising your hand. What",true
301.0,2026-08-31 19:25:27,@xankomaa,,Radioactivity ,neutral,vader,Chino LaForge,"is. It is prefarts. It's bottles of prefarts. Once once just add person enzymes and it's got everything you need. >> Just add stomach probiotic and you got everything you need. Yes, Dove. >> I'm wondering if the purifier all that. >> Yeah. Okay. I just want to heckle you for heckling by raising your hand. What the [ __ ] was that? [laughter]",true
310.0,2026-08-31 19:25:36,@alisonwayland6057,,at least it didn't go black,neutral,vader,Chino LaForge,"everything you need. Yes, Dove. >> I'm wondering if the purifier all that. >> Yeah. Okay. I just want to heckle you for heckling by raising your hand. What the [ __ ] was that? [laughter] This is supposed to be re rude. And you're like, ""Excuse me, sir. I have an interjection if I may."" >> I have a a quit proquo. [laughter]",true
343.0,2026-08-31 19:26:09,@alisonwayland6057,,wow big crowd tonight,positive,vader,Chino LaForge,"farts? You know, at a certain point, we live in an ozone. We're just ancestrally breathing in the farts of like the 1200s. You ever think about that? Like it's just like the water table, right? The water table never leaves the planet. We're drinking Julia Caesar's piss probably, right? You ever think you might be breathing his farts? Nobody ever thought of that. Nobody thought of that. That's that's that's funny about thing",true
364.0,2026-08-31 19:26:30,@HollywoodStar2026,,"Drinking game: Do a shot every time someone yells, YOU SUCK",negative,vader,Chino LaForge,"about leadership is that we think our leaders know what's going on. I got a good example for you. One Caesar thought that wine was stupid and it made you an idiot and that you should only drink orange juice. So, there was a Caesar that only drank orange juice. His name was Orange Julius. No, I'm joking. It wasn't. [laughter] Don't [ __ ] believe everything I say. I'm not a leader. Nobody was drinking nothing but orange",true
389.0,2026-08-31 19:26:55,@CarlCramer88,,Hollywood… we will be puking in no time,negative,vader,Chino LaForge,"Spent his life drinking orange juice. Died at 28. Kidney stones. That dude was wrong as [ __ ] Just because you get the seat of power doesn't mean you're smart, right? That's what that means. Um, little history lesson. Don't know where that came from. That's part of my trauma. Uh, I just regurgitate facts. So, I think you like me. That's what I That's all I want, right? A little shirt. You get it? Uh,",true
390.0,2026-08-31 19:26:56,@z28diablo,,Or Tell a joke,positive,vader,Chino LaForge,"Died at 28. Kidney stones. That dude was wrong as [ __ ] Just because you get the seat of power doesn't mean you're smart, right? That's what that means. Um, little history lesson. Don't know where that came from. That's part of my trauma. Uh, I just regurgitate facts. So, I think you like me. That's what I That's all I want, right? A little shirt. You get it? Uh, >> all right. Anybody else want to heckle",true
404.0,2026-08-31 19:27:10,@xankomaa,,Chino is having a rough one,neutral,vader,Chino LaForge,"So, I think you like me. That's what I That's all I want, right? A little shirt. You get it? Uh, >> all right. Anybody else want to heckle or should I just bring up the first comic? You guys ready to get more comics going? >> Yeah. >> All right. So, we have a number one slot open. Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the",true
405.0,2026-08-31 19:27:11,@JimboTheComic,,A real comedian?,positive,vader,Chino LaForge,"That's all I want, right? A little shirt. You get it? Uh, >> all right. Anybody else want to heckle or should I just bring up the first comic? You guys ready to get more comics going? >> Yeah. >> All right. So, we have a number one slot open. Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the",true
405.0,2026-08-31 19:27:11,@abbyrose7533,,Wonder if anyone will get threatened tonight like last time :face_with_peeking_eye: ,negative,vader,Chino LaForge,"That's all I want, right? A little shirt. You get it? Uh, >> all right. Anybody else want to heckle or should I just bring up the first comic? You guys ready to get more comics going? >> Yeah. >> All right. So, we have a number one slot open. Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the",true
409.0,2026-08-31 19:27:15,@JimboTheComic,,Weird ,negative,vader,Chino LaForge,">> all right. Anybody else want to heckle or should I just bring up the first comic? You guys ready to get more comics going? >> Yeah. >> All right. So, we have a number one slot open. Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the Hawaii tour coming soon to a stage near you. Gifting out a 5minute set the comic",true
414.0,2026-08-31 19:27:20,@JimboTheComic,,I hate it ,negative,vader,Chino LaForge,">> Yeah. >> All right. So, we have a number one slot open. Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the Hawaii tour coming soon to a stage near you. Gifting out a 5minute set the comic of the night. Get ready for Jose Raymond.",true
415.0,2026-08-31 19:27:21,@ONWARD24seven,,what up what up,neutral,vader,Chino LaForge,">> Yeah. >> All right. So, we have a number one slot open. Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the Hawaii tour coming soon to a stage near you. Gifting out a 5minute set the comic of the night. Get ready for Jose Raymond.",true
423.0,2026-08-31 19:27:29,@CarlCramer88,,Onward,neutral,vader,Chino LaForge,"Would anybody like to just Jose? Ladies and gentlemen, the headliner watch the Hawaii tour coming soon to a stage near you. Gifting out a 5minute set the comic of the night. Get ready for Jose Raymond. >> Keep clapping. KEEP CLAPPING. EVERYBODY CLAP. COME ON. >> CLAP. There you go. [applause] I'm specifically talking to the table of uh",true
428.0,2026-08-31 19:27:34,@xankomaa,,Someone make sure chino is doing ok,positive,vader,Chino LaForge,"Hawaii tour coming soon to a stage near you. Gifting out a 5minute set the comic of the night. Get ready for Jose Raymond. >> Keep clapping. KEEP CLAPPING. EVERYBODY CLAP. COME ON. >> CLAP. There you go. [applause] I'm specifically talking to the table of uh Indians. I'm going to call you guys Indians. Yes, you guys are Indians.",true
428.0,2026-08-31 19:27:34,@pijinFPS,,chino likes them scurvy broads,positive,vader,Chino LaForge,"Hawaii tour coming soon to a stage near you. Gifting out a 5minute set the comic of the night. Get ready for Jose Raymond. >> Keep clapping. KEEP CLAPPING. EVERYBODY CLAP. COME ON. >> CLAP. There you go. [applause] I'm specifically talking to the table of uh Indians. I'm going to call you guys Indians. Yes, you guys are Indians.",true
436.0,2026-08-31 19:27:42,@pijinFPS,,vitamin c joke ftw,positive,vader,Chino LaForge,">> Keep clapping. KEEP CLAPPING. EVERYBODY CLAP. COME ON. >> CLAP. There you go. [applause] I'm specifically talking to the table of uh Indians. I'm going to call you guys Indians. Yes, you guys are Indians. >> Yes. All right. You guys are polite as [ __ ] Say something back. You guys are good. Everybody's good. >> Laugh at this [ __ ] You [ __ ]",true
441.0,2026-08-31 19:27:47,@CarlCramer88,,Where is ice when you need them. ,neutral,vader,Chino LaForge,">> CLAP. There you go. [applause] I'm specifically talking to the table of uh Indians. I'm going to call you guys Indians. Yes, you guys are Indians. >> Yes. All right. You guys are polite as [ __ ] Say something back. You guys are good. Everybody's good. >> Laugh at this [ __ ] You [ __ ] are holding in. It's a free show. LAUGH. >> Comedians have a good time. I'm just",true
