video_t,wall_time,author,chat_name,text,sentiment,source_layer,current_performer,caption_window,audience
2128.0,2026-09-21 19:44:21,@TommyTheJarvis,,I’ll count that as a joke ,positive,vader,,"You know, chicken for a cow. I don't know. But, um, yeah, he was also uh like he he was a bit of a drunk. Had a bit of a you know, he could drink. And when he he used to work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got",true
2129.0,2026-09-21 19:44:22,@JimboTheComic,,Hahahahaah,neutral,vader,,"I don't know. But, um, yeah, he was also uh like he he was a bit of a drunk. Had a bit of a you know, he could drink. And when he he used to work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the",true
2130.0,2026-09-21 19:44:23,@TheCorndawggy,,Maybe there’s a joke on that paper ,positive,vader,,"I don't know. But, um, yeah, he was also uh like he he was a bit of a drunk. Had a bit of a you know, he could drink. And when he he used to work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the",true
2131.0,2026-09-21 19:44:24,@albannach7943,,jimbo lets hear your jokes in the chat..we dont want you to bimb again,positive,vader,,"But, um, yeah, he was also uh like he he was a bit of a drunk. Had a bit of a you know, he could drink. And when he he used to work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So",true
2133.0,2026-09-21 19:44:26,@GlitterRed1,,Not reading from the paper,neutral,vader,,"But, um, yeah, he was also uh like he he was a bit of a drunk. Had a bit of a you know, he could drink. And when he he used to work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So",true
2139.0,2026-09-21 19:44:32,@ineverlutes,,a lotta people not calling not it with corky :eyes:,neutral,vader,,"he could drink. And when he he used to work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So the other restaurant quick put him in the line. So he just switched teams and restaurants, you know, but he did get",true
2140.0,2026-09-21 19:44:33,@rocjames1,,a cook :cooking:,neutral,vader,,"work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So the other restaurant quick put him in the line. So he just switched teams and restaurants, you know, but he did get",true
2140.0,2026-09-21 19:44:33,@professorroyhinkley4775,,Is there a :rainbow_flag: hanging near by,neutral,vader,,"work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So the other restaurant quick put him in the line. So he just switched teams and restaurants, you know, but he did get",true
2140.0,2026-09-21 19:44:33,@albannach7943,,bombs away,neutral,vader,,"work uh at a restaurant and he played for a softball team and evidently he got really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So the other restaurant quick put him in the line. So he just switched teams and restaurants, you know, but he did get",true
2148.0,2026-09-21 19:44:41,@goodviibes8573,,Not it ,neutral,vader,,"really drunk uh one night and uh got fired and kicked off the team at the same time. But he was really good. So the other restaurant quick put him in the line. So he just switched teams and restaurants, you know, but he did get fired from that cuz he did wind up sleeping with the owner's wife. So >> home run. Good job.",true
2154.0,2026-09-21 19:44:47,@jackcarr3361,,And his favorite color is red ,positive,vader,,"the other restaurant quick put him in the line. So he just switched teams and restaurants, you know, but he did get fired from that cuz he did wind up sleeping with the owner's wife. So >> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth.",true
2157.0,2026-09-21 19:44:50,@z28diablo,,Jim Steeby is Dan's Druncle,neutral,vader,,"the line. So he just switched teams and restaurants, you know, but he did get fired from that cuz he did wind up sleeping with the owner's wife. So >> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your",true
2158.0,2026-09-21 19:44:51,@GlitterRed1,,@Thecorn lol!! I hope so,positive,vader,,"the line. So he just switched teams and restaurants, you know, but he did get fired from that cuz he did wind up sleeping with the owner's wife. So >> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your",true
2161.0,2026-09-21 19:44:54,@TheCorndawggy,,:face_exhaling: ,neutral,vader,,"restaurants, you know, but he did get fired from that cuz he did wind up sleeping with the owner's wife. So >> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset.",true
2163.0,2026-09-21 19:44:56,@alisonwayland6057,,people.. don't forget to like,negative,vader,,"fired from that cuz he did wind up sleeping with the owner's wife. So >> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset.",true
2166.0,2026-09-21 19:44:59,@professorroyhinkley4775,,Asking for a pardon ,positive,vader,,">> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out.",true
2167.0,2026-09-21 19:45:00,@Hackofalltrades-mh5fq,,wow,positive,vader,,">> home run. Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out.",true
2169.0,2026-09-21 19:45:02,@henryOP8749,,Vibes came in late AF :rolling_on_the_floor_laughing: sup bro :oncoming_fist: ,neutral,vader,,"Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out.",true
2169.0,2026-09-21 19:45:02,@rocjames1,,pearl harbor.,neutral,vader,,"Good job. Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out.",true
2171.0,2026-09-21 19:45:04,@JimboTheComic,,Jimmy steeb ,neutral,vader,,"Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out. They both puked and passed out. So, you",true
2171.0,2026-09-21 19:45:04,@GlitterRed1,,"""Let's see"" so sad",negative,vader,,"Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out. They both puked and passed out. So, you",true
2172.0,2026-09-21 19:45:05,@goodviibes8573,,Can someone fill me in on the jokes ??? ,positive,vader,,"Um, let's see. Uh, he was drunk during his baby's birth. >> Um, yeah. So, it's kind of bad evidently to, uh, be so drunk that you put your wife into labor because she's upset. Yeah, that's one way to, you know, get the baby to come. So, the baby came out. They both puked and passed out. So, you",true
2192.0,2026-09-21 19:45:25,@JimboTheComic,,Good vibes: no,positive,vader,,"They both puked and passed out. So, you know, like father like daughter. That's good. Um, now he has been he's been dead for way over 10 years now. Um, and he was one of those conspiracy guys. So, they're still looking for the gold that's all over his property. It's it's there. All right. I'm Dan Stevie. That's my time.",true
2192.0,2026-09-21 19:45:25,@ineverlutes,,@goodvibes we are still waiting for them ,neutral,vader,,"They both puked and passed out. So, you know, like father like daughter. That's good. Um, now he has been he's been dead for way over 10 years now. Um, and he was one of those conspiracy guys. So, they're still looking for the gold that's all over his property. It's it's there. All right. I'm Dan Stevie. That's my time.",true
2195.0,2026-09-21 19:45:28,@TheCorndawggy,,@goodvibes - we haven’t heard any yet,neutral,vader,,"That's good. Um, now he has been he's been dead for way over 10 years now. Um, and he was one of those conspiracy guys. So, they're still looking for the gold that's all over his property. It's it's there. All right. I'm Dan Stevie. That's my time.",true
